measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44635,High SDI,3,Both,235,95+ years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.2365716316794141,0.35349687515396705,0.15777021147911724
1,Deaths,44639,Middle SDI,1,Male,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,676.0909638321071,1175.2458252860292,334.65887228470933
1,Deaths,44639,Middle SDI,2,Female,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,452.05887182734455,804.7135949547177,226.99723940098963
1,Deaths,44639,Middle SDI,3,Both,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,1128.1498356594516,1966.3482487291358,562.8631273608441
1,Deaths,44639,Middle SDI,1,Male,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.7346510151040406,1.277040494150982,0.3636455645613226
1,Deaths,44639,Middle SDI,2,Female,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.5344222227083856,0.9513292512564775,0.268355244835627
1,Deaths,44639,Middle SDI,3,Both,1,<5 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.6387542352262651,1.1133390548882998,0.31869100636289016
1,Deaths,44639,Middle SDI,1,Male,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,295.5530734012759,550.2287106236353,131.99229054111424
1,Deaths,44639,Middle SDI,2,Female,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,221.23665981030973,425.8059736037672,96.74083842494714
1,Deaths,44639,Middle SDI,3,Both,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,516.7897332115858,979.5152694810498,229.2172078963864
1,Deaths,44639,Middle SDI,1,Male,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.2883662503384035,0.536849061608801,0.12878269699209258
1,Deaths,44639,Middle SDI,2,Female,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.2339178720653652,0.45021303134623036,0.1022859913252424
1,Deaths,44639,Middle SDI,3,Both,6,5-9 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.2622352612535155,0.4970366593738126,0.11631197474254049
1,Deaths,44639,Middle SDI,1,Male,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,157.77885917867687,306.22184694984526,65.40353243303684
1,Deaths,44639,Middle SDI,2,Female,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,136.01091678329394,270.7039121081684,57.37111330407093
1,Deaths,44639,Middle SDI,3,Both,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,293.7897759619707,580.849545344579,123.82751606991076
1,Deaths,44639,Middle SDI,1,Male,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.15699597943723598,0.3047024109391428,0.06507900796361785
1,Deaths,44639,Middle SDI,2,Female,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.14676268301634254,0.29210326188239355,0.061906343367683546
1,Deaths,44639,Middle SDI,3,Both,7,10-14 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.1520865851798736,0.3006892379610045,0.06410197226474078
1,Deaths,44639,Middle SDI,1,Male,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,92.59934351817842,189.6828512708191,36.18579187631932
1,Deaths,44639,Middle SDI,2,Female,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,96.02094632128971,219.11813077987122,37.19692589974355
1,Deaths,44639,Middle SDI,3,Both,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,188.62028983946811,415.7694491908537,72.90423391741184
1,Deaths,44639,Middle SDI,1,Male,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.09799680125208814,0.20073914102065668,0.03829499994194826
1,Deaths,44639,Middle SDI,2,Female,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.10931588183740898,0.24945694257811601,0.04234716394864007
1,Deaths,44639,Middle SDI,3,Both,8,15-19 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.10344979629741345,0.22803095500535928,0.039984712961654616
1,Deaths,44639,Middle SDI,1,Male,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,74.36610731018256,161.46908884074466,28.89451765680215
1,Deaths,44639,Middle SDI,2,Female,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,78.8721206599234,173.44505202590696,31.58516774434088
1,Deaths,44639,Middle SDI,3,Both,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,153.23822797010607,326.9508135974677,61.23162758301807
1,Deaths,44639,Middle SDI,1,Male,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.08210488632458657,0.17827208742965425,0.031901375148227815
1,Deaths,44639,Middle SDI,2,Female,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.09100539226235672,0.20012692524955697,0.03644406358287044
1,Deaths,44639,Middle SDI,3,Both,9,20-24 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.086457041116129,0.18446571921767793,0.03454689742683031
1,Deaths,44639,Middle SDI,1,Male,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,70.92842821131653,151.11383628444787,27.80153229797926
1,Deaths,44639,Middle SDI,2,Female,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,64.94842861616347,141.6343650583111,25.29404085095993
1,Deaths,44639,Middle SDI,3,Both,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),1,Number,2021,135.8768568274799,293.9747895625073,53.458576139941464
1,Deaths,44639,Middle SDI,1,Male,10,25-29 years,959,Invasive Non-typhoidal Salmonella (iNTS),3,Rate,2021,0.07609893826331328,0.16212966772479376,0.029828196441435927
